model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
swin,plc-ms,Qaf,0.07346578,13,44,0.0909090909090909,0.3076923076923077,0.1403508771929824,0.8776200818223142,0.0868461486441986,0.9680989583333334,6,6,0.0,0.0,0.0,0.8330065359477125,0.018019555610426,0.9921875
swin,plc-ms,Qat,0.17885728,61,133,0.2781954887218045,0.6065573770491803,0.3814432989690721,0.9068296749096972,0.3203105124430213,0.921875,77,132,0.2196969696969697,0.3766233766233766,0.277511961722488,0.7790872595533322,0.2049056394017184,0.9016927083333334
swin,plc-ms,Qc,0.44603837,749,784,0.8278061224489796,0.8664886515353805,0.8467058056099152,0.9296868505741668,0.9319186546214712,0.8470052083333334,456,634,0.5867507886435331,0.8157894736842105,0.6825688073394496,0.8779991065627031,0.7739375618797882,0.7747395833333334
swin,plc-ms,Qca,0.34007144,432,567,0.6190476190476191,0.8125,0.7027027027027027,0.9068308004562534,0.8149917505300825,0.806640625,249,453,0.4812362030905077,0.8755020080321285,0.6210826210826211,0.9142646733008178,0.6098359429483978,0.8268229166666666
swin,plc-ms,Qr,0.58586544,1433,1452,0.9517906336088154,0.964410327983252,0.9580589254766032,0.901686325788115,0.9922289553386672,0.9212239583333334,1511,1524,0.984251968503937,0.9927200529450696,0.9884678747940692,0.8241164791528789,0.99645386166377,0.9772135416666666
swin,prc-ms,af1,0.27392137,571,768,0.57421875,0.7723292469352014,0.6587005227781927,0.8177962487409599,0.7686817474573805,0.7024739583333334,435,696,0.4885057471264368,0.7816091954022989,0.601237842617153,0.813402653804796,0.7000789713329493,0.7063802083333334
swin,prc-ms,Qal,0.33984953,950,1117,0.7538048343777977,0.8863157894736842,0.814707305273343,0.8460481408298903,0.905251545823906,0.7506510416666666,845,1391,0.5729690869877786,0.9431952662721892,0.7128801431127012,0.6911705015456546,0.7506072415034013,0.58203125
swin,prc-ms,Qaf,0.11086767,13,22,0.0909090909090909,0.1538461538461538,0.1142857142857142,0.8790342946613466,0.0972200291652378,0.9798177083333334,6,11,0.0,0.0,0.0,0.6470588235294118,0.0074559204606869,0.9889322916666666
swin,prc-ms,Qat,0.0579423,61,233,0.1759656652360515,0.6721311475409836,0.2789115646258503,0.896293414837455,0.275800091276821,0.8619791666666666,77,174,0.1091954022988505,0.2467532467532467,0.1513944223107569,0.6428882974462139,0.0847983531424104,0.861328125
swin,prc-ms,Qc,0.3860286,749,799,0.8685857321652065,0.9265687583444592,0.896640826873385,0.9688648821045596,0.9698709106578068,0.8958333333333334,456,577,0.7435008665511266,0.9407894736842104,0.8305905130687319,0.9676088369070824,0.9344719053120116,0.8860677083333334
swin,prc-ms,Qca,0.38344115,432,452,0.7942477876106194,0.8310185185185185,0.8122171945701357,0.9544983729200214,0.9064418296409926,0.8919270833333334,249,318,0.6761006289308176,0.8634538152610441,0.7583774250440917,0.9631657944910956,0.8109025480963352,0.9108072916666666
swin,prc-ms,Qr,0.44953784,1433,1481,0.9567859554355166,0.988834612700628,0.9725463280713796,0.9414968936103902,0.9955032998729404,0.9479166666666666,1511,1529,0.9849574885546108,0.9966909331568498,0.9907894736842106,0.900330906684315,0.9980448683262652,0.9817708333333334
swin,s-ms,af1,0.269987,571,754,0.5928381962864722,0.7828371278458844,0.6747169811320755,0.8168234984528552,0.7509401126957691,0.7194010416666666,435,793,0.4577553593947036,0.8344827586206897,0.5912052117263844,0.7938676438347583,0.5761727872532126,0.6731770833333334
swin,s-ms,Qal,0.35467976,950,1095,0.7342465753424657,0.8463157894736842,0.7863080684596577,0.8111568169570684,0.8872356197862905,0.7154947916666666,845,1285,0.5914396887159533,0.8994082840236687,0.7136150234741784,0.6788360921056011,0.7331509123967079,0.6028645833333334
