model,input,macro_precision (id),macro_recall (id),macro_f1 (id),auroc (id),macro_map (id),micro_accuracy (id),macro_precision (cd),macro_recall (cd),macro_f1 (cd),auroc (cd),macro_map (cd),micro_accuracy (cd)
resnet50,s-10,0.6142720603276123,0.692932277715965,0.6424103366053885,0.8619858736572005,0.6731671262512219,0.8643973214285714,0.5233593216637872,0.6510754459504586,0.573117677811295,0.8211741709088187,0.5955102116271089,0.8542596726190477
resnet50,s-200,0.5166747392194693,0.7588603695501516,0.590885819828262,0.8100902689955902,0.5841537502555546,0.7885044642857143,0.463532161912329,0.6728303430493495,0.5322922011618236,0.7024420241795503,0.5240337929337664,0.7833891369047619
resnet50,s-20,0.5949341021742917,0.7217732615006558,0.6438110297666408,0.8510024081446137,0.6843164291343549,0.8516555059523809,0.508994384429504,0.7324478254447017,0.590208013152359,0.8029216119318444,0.5733323275497029,0.8229166666666666
resnet50,s-50,0.562940895459232,0.7582259020254687,0.6346402277687516,0.8381795629674448,0.6584104980857377,0.8241257440476191,0.484411427509526,0.7078245672988938,0.5584086796991892,0.779793984478031,0.5522690013296323,0.7952008928571429
resnet50,s-5,0.6063829306585695,0.7153780475492051,0.6446237329898024,0.8657135476722726,0.6777029598058528,0.8624441964285714,0.4960750493126262,0.7515599957326321,0.5844949385895001,0.8100734871928814,0.5838933671429027,0.8280319940476191
resnet50,sds-101,0.5150614922059175,0.6627839708147701,0.5743851732296648,0.7902321627069656,0.5921851341789939,0.8076636904761905,0.4665794923680174,0.6776751640522493,0.5407856236574337,0.7222669892930741,0.5086310233531942,0.7962239583333334
resnet50,sds-11,0.6250038468504032,0.7041712590074907,0.6513749583880186,0.8372046706339339,0.6543400575957276,0.8447730654761905,0.4858523297817066,0.6916623033072558,0.5642051448835672,0.7340194341599349,0.5671143759089269,0.8237537202380952
resnet50,sds-201,0.5148905307709281,0.708679615543847,0.5829390497953593,0.7971444051298929,0.6041210676298594,0.8005952380952381,0.438080346423587,0.6883667691163923,0.5218113726231591,0.7262962254866346,0.5093996352109448,0.7863653273809523
resnet50,sds-21,0.5863723584757895,0.6501182171743902,0.612108321203962,0.8386179881192665,0.6462150105757622,0.8467261904761905,0.4750027539446258,0.6633052290014824,0.5478737642199435,0.7397560929053159,0.5556911238027987,0.8220796130952381
resnet50,sds-51,0.5758269847231043,0.6716476738754074,0.6078696342503649,0.8209318941827826,0.6332439229872511,0.8314732142857143,0.4553321449270672,0.6641563804934945,0.5299756756263251,0.7095746349251115,0.5295366756560307,0.8067336309523809
resnet50,sds-5,0.5777801054584669,0.6701292973041991,0.6182843318268204,0.8494775158413704,0.658091767992107,0.8520275297619048,0.4638949220760855,0.6476363187720692,0.5354912149556936,0.7298909819241718,0.5540257398405215,0.8229166666666666
swin,dem,0.5958286570846641,0.7788842234098253,0.6568785373670635,0.8735405301113826,0.6776696468979873,0.8393787202380952,0.4370631419378935,0.6821927087198539,0.5128159137220903,0.7042913498356785,0.5337835762089126,0.7831101190476191
swin,ep-101,0.5858292040490262,0.699941500456001,0.6332978518969004,0.8679338395475685,0.6791724697167332,0.8456101190476191,0.4765711409493047,0.6685029015451441,0.54762524164905,0.780048365807645,0.5707846619127785,0.8154761904761905
swin,ep-11,0.6123829381483358,0.697355495875291,0.6496914344134079,0.8837224760044531,0.7103383487782543,0.8577008928571429,0.4596269594793636,0.3823689674450584,0.3927020613414038,0.6978623577968858,0.4511069779245315,0.8322172619047619
swin,ep-201,0.6017730408493822,0.7395155589446701,0.653048184570263,0.879904319205408,0.6891502935479547,0.8516555059523809,0.468183831421293,0.6652147077079087,0.5384291424889102,0.7837357295534336,0.5684629031951075,0.8127790178571429
swin,ep-21,0.601340264283136,0.7171039460503499,0.6410057017856269,0.8744328416876483,0.6833708227512912,0.8563058035714286,0.4786075783153755,0.4996682422901689,0.46567763332579,0.7680148197619588,0.497928156881611,0.8226376488095238
swin,ep-51,0.599497105195866,0.6619469669541559,0.6282127703726259,0.8682274384495445,0.6823459577280369,0.8569568452380952,0.4867088526214724,0.6135836150761911,0.5358200585074403,0.7785023051383652,0.5408884754395901,0.8219866071428571
swin,ep-5,0.6115864619534613,0.6990711242123921,0.6441832588158132,0.8829557567207802,0.701306064843088,0.861328125,0.4264857547481689,0.4320658990866415,0.3682480559161392,0.6896367325568187,0.4383164359540138,0.8033854166666666
swin,nhd,0.4092999322259608,0.7098104293007612,0.5043354421029138,0.6219770780891222,0.4496768885963804,0.6814546130952381,0.348982251009282,0.6941587507887237,0.4346117012414326,0.5467445853722122,0.3620238309139198,0.6449962797619048
swin,nir,0.5217620748285504,0.7876298694968155,0.5823959183545385,0.8004600002859412,0.604521540574165,0.7761346726190477,0.3335202775844618,0.3597874628474122,0.3063037412870851,0.4805535053534732,0.3322280746922271,0.6996837797619048
swin,osm,0.4488031303455916,0.8201480387464831,0.5351756675304984,0.6709819879904471,0.4822175846443572,0.6770833333333334,0.376724991700855,0.8134098642737414,0.4573914775879192,0.6092062249945103,0.4034791952790915,0.5691964285714286
swin,plc-100,0.4500733100679165,0.6943156171043989,0.5330861197069847,0.7091713045118938,0.4997877103334162,0.7283296130952381,0.3998901045067925,0.6461180121870419,0.4521312208745956,0.6326931307905864,0.3771763569253737,0.6815476190476191
swin,plc-10,0.5440219634158695,0.6919973496766013,0.6035679130120709,0.8362254278335668,0.6402630784216538,0.8176153273809523,0.4369599206762108,0.6077431456273553,0.4790179249453122,0.7371898799874022,0.4941194991292665,0.7615327380952381
swin,plc-200,0.3962275465379578,0.8403646620617444,0.4953559709732626,0.5243766807059492,0.4085385249131476,0.5380394345238095,0.3339872725544555,0.8340157696887838,0.4202844860585405,0.5444434145048568,0.3426981667875748,0.478515625
swin,plc-20,0.5152518761152425,0.68267022574001,0.5807855282832965,0.8216210273731123,0.6191314023862164,0.8035714285714286,0.4199784469044567,0.6034965082720382,0.4748990022747562,0.7193972720619327,0.4655602391428481,0.75
swin,plc-50,0.5132045859667715,0.6539336448764795,0.5594822948949952,0.7724273515291795,0.5697090372706326,0.7793898809523809,0.4071284659534376,0.5509734857300446,0.4165440044658349,0.6841768331611279,0.427479575992955,0.7219122023809523
swin,plc-5,0.5317682245387699,0.7141028812098369,0.586961048539992,0.8155420543008851,0.614577490845458,0.7977120535714286,0.4380260221782962,0.6998979610454575,0.5192448215095405,0.7614422429529356,0.5079160382617494,0.7646019345238095
swin,prc-100,0.558581988326177,0.7130205844003582,0.6142091472592505,0.8381285754856851,0.6241499769394903,0.8235677083333334,0.4565604330920071,0.659249818714653,0.5207150096685066,0.7338801241245265,0.5270679440957784,0.7937127976190477
swin,prc-10,0.5953848488140887,0.6902552380402776,0.628267376640825,0.8634574861223466,0.6820997440029307,0.8523065476190477,0.5063069554745337,0.712917526079446,0.5782945655838619,0.7961155017594025,0.6023122911153278,0.8349144345238095
swin,prc-200,0.5394746396484217,0.7642024385173869,0.6123349995343151,0.8387473890818209,0.6143293979578344,0.8047805059523809,0.4412566993069306,0.6516719745527235,0.5111001611970313,0.7213883895602947,0.5223245968463728,0.7824590773809523
swin,prc-20,0.5528430399212647,0.6824965014328851,0.5995174199177501,0.8452079792284299,0.64470093477505,0.8354724702380952,0.4362663293030437,0.6781800182810613,0.5177913660588248,0.7354205020276824,0.5219902732218682,0.7786458333333334
swin,prc-50,0.6196083328961024,0.7587434847520169,0.6659690789101979,0.8502804097983488,0.6484447355003508,0.8372395833333334,0.4603184550618788,0.6507787784448944,0.5245258163436886,0.7290537524708843,0.5210731386147766,0.7970610119047619
swin,prc-5,0.6109925829550161,0.7019123409426768,0.6397277094785361,0.880639775533543,0.6836850896143966,0.8602120535714286,0.5140914006161165,0.7255148867889708,0.592257538355888,0.8184107552855144,0.6267962432674601,0.8385416666666666
swin,rgb+nir,0.5662455496115489,0.6990868174929945,0.6146384881294392,0.8608430623035951,0.6526866088961916,0.8409598214285714,0.4424216046380353,0.3078949501486484,0.3394769585681448,0.6332530767537834,0.4385104740070191,0.7884114583333334
swin,rgb,0.5629920136360071,0.6647086585733071,0.604877236194179,0.8512626633747005,0.6366525525671781,0.8404947916666666,0.3046093143530347,0.4657685226825148,0.3231245934398684,0.5215473071592663,0.3416873876107089,0.6742001488095238
swin,s-100,0.5137213046603987,0.8376923351867099,0.5927186497977448,0.8044402798412057,0.6025625067589361,0.7722284226190477,0.457966292220932,0.6998169387503772,0.5370113179442053,0.7259626999405127,0.5197806209332583,0.7702752976190477
swin,s-10,0.6192068655370083,0.6916874910761505,0.6478190596042556,0.870241992869893,0.680376699890665,0.869140625,0.5078660637472417,0.6582350278575835,0.5703110877858901,0.8030671070951853,0.5852682659976126,0.8488653273809523
swin,s-200,0.521248248887959,0.787862378742707,0.5960131139127862,0.7918737896716711,0.5769033436044759,0.7877604166666666,0.4590810171347965,0.6608192384886805,0.5234086564247095,0.688283634348477,0.51115295758367,0.78125
swin,s-20,0.5972087442627275,0.6909679016327807,0.6329379478437971,0.8618979440489257,0.6714644610313861,0.8573288690476191,0.5033261658306338,0.6385894317321406,0.5572155605481857,0.7920990799631635,0.5595538541018058,0.8361235119047619
swin,s-50,0.5541798410698223,0.7131335618802218,0.6127598676714764,0.8359516675156099,0.6316972982486454,0.8236607142857143,0.4772677135756642,0.6723597972740328,0.5422882583556886,0.7579775793673296,0.531461162139679,0.8008742559523809
swin,s-5,0.6038839063144429,0.7689073802965954,0.6540841383397744,0.8688131251675496,0.6910546104893301,0.8565848214285714,0.5005878818868607,0.7131545371730178,0.5788008944504401,0.796024846509176,0.5825864964434417,0.8351934523809523
swin,sds-101,0.4730548028457542,0.7112220543198939,0.5533683331130235,0.7448916400658907,0.5518479623515656,0.7646949404761905,0.4156701421195607,0.7285771440274897,0.5119769780355657,0.6874475918304095,0.498840836649916,0.7538132440476191
swin,sds-11,0.5535877132835172,0.7101715909446294,0.6074629672364444,0.8317220649345446,0.6449200749594458,0.8355654761904762,0.4632124180228393,0.7239677527754916,0.5521886773777378,0.7371602418951886,0.5389520924560772,0.8111979166666666
swin,sds-201,0.4703522273590575,0.7066343202712755,0.5457009520501976,0.747121667375201,0.5465043560128332,0.7666480654761905,0.4466981004151862,0.7108138811257473,0.5227158339019501,0.7097506196320885,0.5101636351128773,0.7561383928571429
swin,sds-21,0.5399201363612988,0.6867686168015028,0.5864117225266796,0.8097100494164134,0.6237616078836812,0.8196614583333334,0.4465175814110353,0.6599540185266869,0.523162513972269,0.6977899669483446,0.5188289823121878,0.7967819940476191
swin,sds-51,0.4998809822316449,0.7093801889201311,0.565675705145001,0.7810311791715087,0.5896172842039826,0.7859002976190477,0.4230219664823796,0.7402540372431508,0.5191722833062464,0.7128573090455568,0.5058187666271553,0.7655319940476191
swin,sds-5,0.5705825717550047,0.6952073182178637,0.622380699848908,0.8320315260372474,0.6630207224096039,0.8409598214285714,0.4752724327691059,0.7055746154466015,0.5610092001028647,0.7425412419916319,0.5602657706020542,0.8177083333333334
