model,input,class,decision threshold,ground truth (id),predicted (id),precision (id),recall (id),f1 (id),auroc (id),ap (id),accuracy (id),ground truth (cd),predicted (cd),precision (cd),recall (cd),f1 (cd),auroc (cd),ap (cd),accuracy (cd)
resnet18,ep-ms+s-ms+sds-ms,af1,0.31236157,571,606,0.693069306930693,0.7355516637478109,0.713678844519966,0.8663412066822138,0.830670925051634,0.7805989583333334,435,466,0.6566523605150214,0.7034482758620689,0.6792452830188679,0.8596072535939114,0.7690795304616179,0.8118489583333334
resnet18,ep-ms+s-ms+sds-ms,Qal,0.36893785,950,1086,0.7651933701657458,0.8747368421052631,0.8163064833005894,0.8507562421411891,0.9156433862155268,0.7565104166666666,845,1137,0.6525945470536499,0.8781065088757396,0.7487386478304743,0.7376531739439454,0.7717553054792148,0.67578125
resnet18,ep-ms+s-ms+sds-ms,Qaf,0.021887677,13,85,0.0941176470588235,0.6153846153846154,0.1632653061224489,0.9084297186726602,0.1621389871131187,0.9466145833333334,6,33,0.0,0.0,0.0,0.7380174291938998,0.0118418583222585,0.974609375
resnet18,ep-ms+s-ms+sds-ms,Qat,0.1420843,61,144,0.2777777777777778,0.6557377049180327,0.3902439024390244,0.914231731036399,0.4273091515953013,0.9186197916666666,77,132,0.2878787878787879,0.4935064935064935,0.3636363636363636,0.8080076195223557,0.2250212737925033,0.9134114583333334
resnet18,ep-ms+s-ms+sds-ms,Qc,0.40902832,749,771,0.906614785992218,0.9332443257676902,0.9197368421052632,0.9780087978380324,0.9786477165376442,0.9205729166666666,456,546,0.7783882783882784,0.9320175438596492,0.8483033932135728,0.975462962962963,0.9501690633861845,0.9010416666666666
resnet18,ep-ms+s-ms+sds-ms,Qca,0.7301042,432,402,0.8432835820895522,0.7847222222222222,0.8129496402877698,0.9557794887278585,0.9139607457441572,0.8984375,249,330,0.6454545454545455,0.8554216867469879,0.7357512953367875,0.9472700436555858,0.7587235379557624,0.900390625
resnet18,ep-ms+s-ms+sds-ms,Qr,0.31806055,1433,1481,0.9561107359891964,0.9881367759944172,0.971859986273164,0.939606636901334,0.9952212197647066,0.9466145833333334,1511,1535,0.98371335504886,0.99933818663137,0.9914642153644124,0.873964262078094,0.9976218567346224,0.9830729166666666
resnet18,prc-ms+s-ms,af1,0.23559503,571,611,0.6824877250409165,0.7302977232924693,0.7055837563451777,0.8486520330662504,0.8090802834260178,0.7734375,435,507,0.6153846153846154,0.7172413793103448,0.6624203821656051,0.8366772108950066,0.7520963808439307,0.79296875
resnet18,prc-ms+s-ms,Qal,0.24935392,950,1157,0.7545375972342264,0.9189473684210526,0.8286663502610346,0.8693461469373092,0.923975184482199,0.7649739583333334,845,1317,0.6097190584662111,0.9502958579881656,0.7428307123034228,0.7778641707841307,0.8182954007760914,0.6380208333333334
resnet18,prc-ms+s-ms,Qaf,0.26846296,13,20,0.15,0.2307692307692307,0.1818181818181818,0.8951967271074297,0.0842907583370861,0.982421875,6,9,0.0,0.0,0.0,0.6979302832244009,0.0174983053154983,0.990234375
resnet18,prc-ms+s-ms,Qat,0.17019017,61,82,0.2804878048780488,0.3770491803278688,0.3216783216783216,0.912920255626563,0.3443234783449516,0.9368489583333334,77,118,0.1440677966101695,0.2207792207792207,0.1743589743589743,0.6871545178604808,0.1084631266275522,0.8951822916666666
resnet18,prc-ms+s-ms,Qc,0.52963907,749,727,0.9243466299862448,0.897196261682243,0.9105691056910568,0.974359713841242,0.9761179330610772,0.9140625,456,548,0.7846715328467153,0.9429824561403508,0.8565737051792829,0.9789900097465888,0.9568473403649952,0.90625
resnet18,prc-ms+s-ms,Qca,0.21247151,432,492,0.7703252032520326,0.8773148148148148,0.8203463203463204,0.9635647309447128,0.9242116614411916,0.8919270833333334,249,374,0.5935828877005348,0.891566265060241,0.7126805778491172,0.9557452810464858,0.8024383066825866,0.8834635416666666
resnet18,prc-ms+s-ms,Qr,0.62490666,1433,1469,0.9611980939414568,0.9853454291695743,0.9731219848380428,0.9394711346282834,0.9950348010401796,0.94921875,1511,1534,0.983702737940026,0.99867637326274,0.9911330049261085,0.7663798808735937,0.9932779336445404,0.982421875
resnet50,dem+rgb,af1,0.28990555,571,611,0.6563011456628478,0.702276707530648,0.6785109983079526,0.8363873941725724,0.7774234972158574,0.7526041666666666,435,921,0.3279044516829533,0.6942528735632184,0.4454277286135693,0.5685990792069906,0.3177842603070309,0.5104166666666666
resnet50,dem+rgb,Qal,0.44092867,950,1140,0.7157894736842105,0.8589473684210527,0.7808612440191387,0.7600359259924554,0.8413546717859439,0.7018229166666666,845,515,0.6038834951456311,0.3680473372781065,0.4573529411764706,0.5484170955394377,0.5767370448648159,0.51953125
resnet50,dem+rgb,Qaf,0.07078913,13,59,0.0508474576271186,0.2307692307692307,0.0833333333333333,0.850649022677913,0.051851724557249,0.95703125,6,0,0.0,0.0,0.0,0.5321350762527233,0.0049257261895105,0.99609375
resnet50,dem+rgb,Qat,0.15228926,61,93,0.2473118279569892,0.3770491803278688,0.2987012987012987,0.8858571825507086,0.2228493014576217,0.9296875,77,0,0.0,0.0,0.0,0.5467719395066893,0.0501493084619636,0.9498697916666666
resnet50,dem+rgb,Qc,0.5779396,749,705,0.8354609929078014,0.7863818424566088,0.8101788170563962,0.9043451412556854,0.905559710630796,0.8203125,456,720,0.5013888888888889,0.7916666666666666,0.6139455782312925,0.8063068551007148,0.6460148395023653,0.7044270833333334
resnet50,dem+rgb,Qca,0.44236517,432,484,0.6384297520661157,0.7152777777777778,0.6746724890829694,0.8701585983628556,0.7370303874668431,0.8059895833333334,249,111,0.1081081081081081,0.0481927710843373,0.0666666666666666,0.7370741708091105,0.2576576317768487,0.78125
resnet50,dem+rgb,Qr,0.24577576,1433,1535,0.9335504885993484,1.0,0.965633423180593,0.9064221302312346,0.9926455449086368,0.93359375,1511,1536,0.9837239583333334,1.0,0.9917952084017068,0.7272931833223031,0.9910183823315186,0.9837239583333334
resnet50,ep-ms+prc-ms,af1,0.40113196,571,482,0.7531120331950207,0.6357267950963222,0.6894586894586895,0.8470858325090969,0.7942127554530753,0.787109375,435,453,0.6291390728476821,0.6551724137931034,0.6418918918918919,0.8315679580736425,0.7348201684408059,0.79296875
resnet50,ep-ms+prc-ms,Qal,0.3937654,950,1107,0.7579042457091237,0.8831578947368421,0.8157510938259601,0.8457984551823245,0.9056563019882,0.7532552083333334,845,1309,0.6111535523300229,0.9467455621301776,0.7428040854224698,0.7491740809563364,0.7844047746941968,0.6393229166666666
resnet50,ep-ms+prc-ms,Qaf,0.044768024,13,20,0.05,0.0769230769230769,0.0606060606060606,0.8033234001717259,0.1137529944678669,0.9798177083333334,6,6,0.0,0.0,0.0,0.724727668845316,0.0125738933982355,0.9921875
resnet50,ep-ms+prc-ms,Qat,0.30011237,61,64,0.375,0.3934426229508196,0.384,0.9049736037788276,0.3042496121394465,0.9498697916666666,77,83,0.2048192771084337,0.2207792207792207,0.2125,0.7854160917903208,0.1666821069078005,0.91796875
