model,encoder,input,class,gt_support (id),pred_support (id),gt_num_images (id),pred_num_images (id),tp (id),fp (id),fn (id),tn (id),macro_iou (id),macro_dice (id),macro_precision (id),macro_recall (id),mean_hd (id),mean_hd95 (id),micro_iou (id),micro_dice (id),micro_precision (id),micro_recall (id),gt_support (cd),pred_support (cd),gt_num_images (cd),pred_num_images (cd),tp (cd),fp (cd),fn (cd),tn (cd),macro_iou (cd),macro_dice (cd),macro_precision (cd),macro_recall (cd),mean_hd (cd),mean_hd95 (cd),micro_iou (cd),micro_dice (cd),micro_precision (cd),micro_recall (cd)
unet,resnet18,plc-10,Qr,62099929.0,63107376.0,1433.0,1529.0,54339356.0,8768020.0,7760573.0,29795347.0,0.6516962794763432,0.7236478474758394,0.7731081567562156,0.7525565016333269,95.34493684451454,66.881601236698,0.766769135649742,0.8679901863553409,0.8610618828455171,0.8750308877164739,75325588.0,76244388.0,1511.0,1535.0,66027790.0,10216598.0,9297798.0,15121110.0,0.7239702098479314,0.7985154601036197,0.8302754817870942,0.8447681704444693,89.07863509836456,66.16215005842444,0.771874008457067,0.871251572936846,0.8660019672529865,0.8765652118108922
unet,resnet18,plc-10,af1,6362496.0,4210436.0,570.0,503.0,2962303.0,1248133.0,3400193.0,93052667.0,0.153976234247109,0.197711682396826,0.3003638241533349,0.1965666526832461,126.10466480255128,113.031724783839,0.3892323486008843,0.5603560109910856,0.7035620539060563,0.4655881905466031,1372643.0,1073820.0,432.0,357.0,397559.0,676261.0,975084.0,98614392.0,0.0765529495045101,0.1137974552442564,0.2048854322050159,0.1121841702338618,134.4964132091226,123.85891703601295,0.194034957225912,0.3250071634028391,0.3702287161721704,0.2896302971712237
unet,resnet18,plc-200,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,plc-200,Qal,8361713.0,6916889.0,947.0,483.0,3394099.0,3522790.0,4967614.0,88778793.0,0.1055739314301762,0.1437197233460669,0.1830818484499633,0.1872440630424932,128.41278824003615,117.7541150338579,0.2855903187537585,0.4442944452640366,0.4906973351748163,0.4059095307384982,9921617.0,5707896.0,842.0,489.0,2838890.0,2869006.0,7082727.0,87872673.0,0.0954445149629113,0.1315697263046356,0.2103628100118207,0.1449953580445369,140.35956957161082,127.36189671610131,0.22195087760776,0.3632729951342693,0.4973619000766657,0.2861317867843518
unet,resnet18,plc-200,Qat,388848.0,0.0,61.0,0.0,0.0,0.0,388848.0,100274448.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1101870.0,0.0,77.0,0.0,0.0,0.0,1101870.0,99561426.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,plc-200,Qc,16237424.0,2083740.0,748.0,412.0,678386.0,1405354.0,15559038.0,83020518.0,0.0249344751710631,0.0382972626542934,0.1294148597362086,0.0366623729849807,185.41887752943305,168.0214328841859,0.0384512008256296,0.0740549017518756,0.3255617303502356,0.0417791639856174,9341265.0,1947494.0,453.0,362.0,279456.0,1668038.0,9061809.0,89653993.0,0.013268573226783,0.0211744610464261,0.0673865407438785,0.0219391493887853,184.17249969743256,168.8555124396952,0.0253836232865968,0.0495104909228729,0.1434951789325153,0.0299162907807454
unet,resnet18,plc-200,Qca,7202703.0,585635.0,431.0,158.0,110696.0,474939.0,7092007.0,92985654.0,0.0089863217276695,0.0145987036392981,0.0614916930608089,0.0098541715115679,183.60963537886337,170.5310425629487,0.0144179684335372,0.0284260903930979,0.1890187574171625,0.0153686747877845,3590038.0,287350.0,248.0,119.0,16658.0,270692.0,3573380.0,96802566.0,0.0016439919211755,0.0029719977806793,0.0225126750464009,0.0016821517739688,187.43462670367697,175.77287723707116,0.0043147280436601,0.0085923822944724,0.057971115364538,0.0046400623057471
unet,resnet18,plc-200,Qr,62099929.0,91077032.0,1433.0,1536.0,59443111.0,31633921.0,2656818.0,6929446.0,0.6051609726672353,0.676931023928951,0.6308177618447152,0.8830285548131277,107.30281868117386,90.40434168321804,0.6341690968630863,0.7761364452190692,0.6526685125180627,0.9572170525347944,75325588.0,92720556.0,1511.0,1536.0,71759603.0,20960953.0,3565985.0,4376755.0,0.72759662013965,0.7947852165957746,0.7623177148436943,0.9288350717151465,83.1889936766192,67.50294740163751,0.7452713770245418,0.8540464100146208,0.773934131715086,0.9526590486090862
unet,resnet18,plc-200,af1,6362496.0,0.0,570.0,0.0,0.0,0.0,6362496.0,94300800.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1372643.0,0.0,432.0,0.0,0.0,0.0,1372643.0,99290653.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
unet,resnet18,plc-20,Qaf,10183.0,0.0,10.0,0.0,0.0,0.0,10183.0,100653113.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10275.0,0.0,6.0,0.0,0.0,0.0,10275.0,100653021.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
