Run,Feature,gamma (fixed),gamma (run),MMD2,MMD,p-value
4,PrC200,0.0117028449695147,0.0556767193673308,0.0011431465265555,0.0338104499608558,1.1227268150934984e-05
4,S 5,0.0117028449695147,0.086762518192842,0.0005460874545615,0.0233685141710278,0.0018055618100849
4,S 10,0.0117028449695147,0.0911923220656791,0.0008085491351316,0.0284349984197582,0.0001890619557899
4,S 20,0.0117028449695147,0.0968049583050628,0.001018163649151,0.0319086767063601,3.2076662703957536e-05
4,S 50,0.0117028449695147,0.1177153956676301,0.0019254761609384,0.0438802479589444,1.7022372990135737e-08
4,S 100,0.0117028449695147,0.1349194910244275,0.0033077497745783,0.0575130400394408,2.0839691063932725e-13
4,S 200,0.0117028449695147,0.1308074307555482,0.0056993207110028,0.0754938455173856,7.877622515802544e-22
4,SDS 5,0.0117028449695147,0.0704736183897891,0.0005360740864705,0.0231532737743621,0.0019701020226025
4,SDS 11,0.0117028449695147,0.070493868387198,0.0005426907694263,0.0232957242734876,0.0018597542211972
4,SDS 21,0.0117028449695147,0.0691925869545892,0.0007813936324551,0.0279534189761316,0.0002382714693748
4,SDS 51,0.0117028449695147,0.070869223486289,0.0010641104187899,0.0326207053692882,2.179351323748956e-05
4,SDS 101,0.0117028449695147,0.075549108032553,0.001131415984853,0.0336365275385709,1.2387239622573455e-05
4,SDS 201,0.0117028449695147,0.0818527978159861,0.0018071286428783,0.0425103357182507,4.5162637556532674e-08
4,EP ms,0.0117028449695147,0.0081584814354575,0.0088039832667421,0.0938295436775761,1.0415428206706864e-32
4,PlC ms,0.0117028449695147,0.0077176805784715,0.0139021235818729,0.1179072668747474,1.6120232536150094e-50
4,PrC ms,0.0117028449695147,0.0076770730686093,0.0041481388678317,0.0644060468266124,2.2502212435556115e-16
4,S ms,0.0117028449695147,0.0154559171264017,0.0030377763835723,0.0551160265582738,1.8808927370770656e-12
4,SDS ms,0.0117028449695147,0.0113012091337832,0.0012841034835014,0.035834389676698,3.455044454317154e-06
5,DEM,0.0117028449695147,0.0726919228279136,0.0771263148589438,0.2777162488205251,1.4939672600265641e-270
5,RGB,0.0117028449695147,0.021722916761162,0.0207263891460738,0.143966625111773,2.5802970283755755e-74
5,RGB+NIR,0.0117028449695147,0.0134237901542698,0.0460991398323328,0.2147071024263819,1.2167175912317552e-162
5,NHD,0.0117028449695147,0.0152538750000002,0.0010935130675079,0.0330683091117151,1.702425813791782e-05
5,OSM,0.0117028449695147,0.002734875,0.000644868101311,0.0253942533127295,0.0007676390797548
5,EP 5,0.0117028449695147,0.0913160708751641,0.0044305840654712,0.0665626326512948,2.276096431666011e-17
5,EP 11,0.0117028449695147,0.0787781729294851,0.0026635694363204,0.0516097804327866,3.9933215036520456e-11
