encoder,fusion,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
vit_b_16,concat,nhd+osm+rgb+s-ms,0.6495839033117617,0.683847491870737,0.6603222555397655,0.8940289702735146,0.7005081128244541,0.8822544642857143,0.5090570767673633,0.660093644907065,0.5619077129015032,0.7815015029225181,0.5774450657654775,0.8322172619047619
resnext50_32x4d,concat,prc-ms+s-ms,0.593618211191467,0.7476797267933388,0.6361485321139847,0.8744974355883487,0.6806625838262601,0.8510044642857143,0.4748762817325821,0.6597127209640413,0.5442322197797657,0.7686501296285112,0.5786726400847825,0.8209635416666666
vit_b_16,concat,prc-ms+s-ms,0.6432448627770737,0.7503985174475424,0.6870916113295412,0.9024174653746152,0.7202192407016914,0.8809523809523809,0.5469641501590893,0.6682978247383641,0.5979577879763929,0.8266372587447786,0.6206284313684378,0.8660714285714286
resnext50_32x4d,ca,dem+ep-ms+rgb+s-ms+sds-ms,0.6176423280962914,0.7020377904999345,0.6436954230134576,0.8809256006110403,0.6851187638328755,0.8617931547619048,0.5484275173131753,0.5943112956197864,0.5638692528975809,0.8118895591711155,0.6059983010094389,0.8607700892857143
vit_b_16,ca,dem+ep-ms+rgb+s-ms+sds-ms,0.6372219581302836,0.7503490627554459,0.672925400067011,0.9176449405834824,0.7186839909193867,0.8803013392857143,0.4899753287782677,0.6318393970799724,0.540093259227067,0.7560829187042796,0.5730847783515935,0.8416108630952381
resnext50_32x4d,ca,dem+nhd+osm+rgb,0.5407501697806263,0.6717560283305906,0.5837041859582721,0.7957526439809373,0.6032670796871064,0.8150111607142857,0.4962942349527807,0.6779430135299914,0.5477821528189833,0.7043000320499395,0.5647785118650911,0.7927827380952381
vit_b_16,ca,dem+nhd+osm+rgb,0.6341691213646341,0.7431237776754387,0.6729876183416333,0.8962971115472403,0.6970370690613363,0.865234375,0.4736121959433014,0.51192007352981,0.4649304487234097,0.7207502641473129,0.5234480521060851,0.8420758928571429
resnext50_32x4d,ca,dem+rgb,0.5455765071012223,0.6404707980919859,0.586352732447312,0.8215828628808534,0.6207369030912105,0.8340773809523809,0.4879273380415308,0.623014469888478,0.4842273931227379,0.7210642338031094,0.5446986436060135,0.7458147321428571
vit_b_16,ca,dem+rgb,0.6280546484090274,0.7383460379819621,0.6693533290250275,0.9062253169468956,0.7106795201688307,0.8693266369047619,0.441496727408468,0.5032489319260864,0.4249672142210139,0.7154889476639303,0.5052047702565791,0.7953869047619048
resnext50_32x4d,ca,dem+s-ms,0.6013250653510825,0.7041864200331772,0.6328918751474966,0.8726832148537625,0.6698683715601826,0.8523065476190477,0.4905481256427516,0.6279903151994353,0.5431781898547087,0.7664631495644068,0.5743315619903909,0.8361235119047619
