input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
ep-ms+prc-ms,multimodal_sa,0.6277006129547343,0.7297421363376958,0.6653431713842021,0.9102364514741924,0.7173264856095664,0.8806733630952381,0.551978289521999,0.6126634565265076,0.5749965713918099,0.802595462128244,0.5919200717247346,0.8674665178571429
ep-ms+prc-ms,multimodal_stack,0.6174380034892984,0.7207283537857797,0.6540217617016663,0.8935541146083387,0.706377256997013,0.8709077380952381,0.5461364747550139,0.4980151113219354,0.4960980528987237,0.7824254194165844,0.5576523290866315,0.8508184523809523
ep-ms+prc-ms+s-ms,multimodal_ca,0.5592848640642576,0.6730504061320722,0.6049177302508942,0.8470830755491995,0.6573630429776133,0.8351934523809523,0.5444031074000047,0.6526413737589988,0.5754539438221827,0.8042897782739883,0.6271652019097129,0.8388206845238095
ep-ms+prc-ms+s-ms,multimodal_concat,0.567995927481012,0.714014257188368,0.62847047298486,0.8486458824572175,0.6670911883319416,0.8439360119047619,0.502142383488611,0.6711699656263816,0.565660430289624,0.7749142443408719,0.6091328089019495,0.8373325892857143
ep-ms+prc-ms+s-ms,multimodal_sa,0.6632527168811773,0.721629582336367,0.6898910240436583,0.9093502965906852,0.7363039236699029,0.8862537202380952,0.5216518451246688,0.6532957748882166,0.5635545548989178,0.8243724859261886,0.6025993111552461,0.8463541666666666
ep-ms+prc-ms+s-ms,multimodal_stack,0.645086913790433,0.7093121797588386,0.6697969639314456,0.8972828504155892,0.7128476312333778,0.8830915178571429,0.5548178384698919,0.6683062212058274,0.5909049767865803,0.7768789126379302,0.6480380113993329,0.8589099702380952
ep-ms+s-ms,multimodal_ca,0.5537624142159484,0.7404394122217485,0.612901339966157,0.8369688314141842,0.6418032484082135,0.8298921130952381,0.4938640128721001,0.6996755110013922,0.5642915935628884,0.7941066370444083,0.5963078372423934,0.8318452380952381
ep-ms+s-ms,multimodal_concat,0.5625368386361395,0.6625629142782777,0.6050069634698259,0.8110129731307417,0.6493538633755762,0.8427269345238095,0.4756949107650627,0.6699405050905387,0.535949047678873,0.7659144959079421,0.5617704672619617,0.8032924107142857
ep-ms+s-ms,multimodal_sa,0.6544123787535405,0.6903551280887618,0.6672060017619934,0.9036390294025062,0.7058626831716869,0.8815104166666666,0.543101306389513,0.566569660150519,0.5151219941240068,0.8013738787680694,0.5942234193298335,0.8539806547619048
ep-ms+s-ms,multimodal_stack,0.6247222947272697,0.7173249459310949,0.6621561836105848,0.8820996071607409,0.7175061130463448,0.8784412202380952,0.5849016345187056,0.6083382473551414,0.595095450406531,0.8079418201430324,0.6208273627182657,0.8776971726190477
