input,exp_type,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
plc-50,single_sa,0.4987281127134833,0.7437281955984831,0.5773079353077125,0.7821457057507327,0.5822951406948222,0.7674851190476191,0.4009277658548862,0.6222626816790441,0.4640253241395661,0.6943959397029204,0.4643791382902046,0.7247023809523809
prc-10,single,0.6298324973069322,0.6563887979735415,0.6384038805615809,0.8603139859924634,0.6813092960681306,0.8723028273809523,0.5409292951269484,0.673528184851701,0.5916782903651382,0.797459506928328,0.6224620558139401,0.8573288690476191
prc-10,single_sa,0.6106315831085037,0.6848561893432905,0.636671861658068,0.8781849059372816,0.6858175642837306,0.8644903273809523,0.5354207945830836,0.6838473091091138,0.5942609914484774,0.810595405082115,0.6245243302533837,0.857421875
prc-100,single,0.5985894613249568,0.7495400507681493,0.6330796705015829,0.8415865599829288,0.6541057612677229,0.82421875,0.4811819998091997,0.7116250988898687,0.5437083921143394,0.7618541902497873,0.5342709811362643,0.7946428571428571
prc-100,single_sa,0.5643289649564655,0.7551900686715305,0.6265172291394008,0.8470695428766394,0.6416463951660738,0.8199404761904762,0.4524921208479258,0.6842291115255241,0.5283247621311732,0.73889469050686,0.5213823570671748,0.7822730654761905
prc-20,single,0.597384402789689,0.6889150133840124,0.6235263881359716,0.8621477115410798,0.6704334603735193,0.8547247023809523,0.5135503039126096,0.6543534240530998,0.5617633040197617,0.7903058825262722,0.6032450643041686,0.8424479166666666
prc-20,single_sa,0.5987409903979499,0.6675268401779245,0.6177277279771154,0.8753769579051655,0.678103496135961,0.8548177083333334,0.4958272154012851,0.6485050023080857,0.5459478535790864,0.7857878142201221,0.5787835100635238,0.8311011904761905
prc-200,single,0.5671508058738571,0.7365864391385909,0.6255992485077272,0.8393745273986726,0.6188291394326398,0.8158482142857143,0.4537703062186135,0.6480895018674152,0.5175983539470579,0.7301741365323068,0.5162760010697209,0.7948288690476191
prc-200,single_sa,0.5510899615224224,0.8111324587514481,0.6196685279950787,0.839950425665253,0.6265496731318626,0.8025483630952381,0.4529447809658317,0.6651635334093001,0.5215598796679497,0.7368196001817598,0.5189527654728631,0.7735305059523809
prc-5,single,0.6063896297999829,0.7017566054453356,0.6429508209511131,0.8618347049373071,0.6849319796310497,0.8624441964285714,0.5036330561408414,0.7463653122303784,0.5866883080566903,0.8245070630734581,0.6246962236921336,0.8247767857142857
prc-5,single_sa,0.6104380073158479,0.6716014961939989,0.637974032905524,0.8853003257483216,0.6844723212886957,0.8721168154761905,0.5230935976905284,0.7029059878250428,0.5902202494598507,0.8344204305776249,0.6332541384767582,0.85546875
prc-50,single,0.5729563735597074,0.7922181917478698,0.6285905026006817,0.8545458237698054,0.6595245419576281,0.8174293154761905,0.4814341462903685,0.7067656839098423,0.5500128853412181,0.7362231832399926,0.5618265073852253,0.7901785714285714
prc-50,single_sa,0.5887220888976402,0.7846527322083248,0.6507257978359119,0.8682119953580428,0.673110725145424,0.8400297619047619,0.4953096948673311,0.6843882835793677,0.5629201482796712,0.7533081005276288,0.5535324676597793,0.8157552083333334
rgb,single,0.5694921094776714,0.6540595537007187,0.6077001224376037,0.8331522000988512,0.6526538736938508,0.8532366071428571,0.4356419889683144,0.6145489779466132,0.5038042664276721,0.6955568303718758,0.4828016360462764,0.7956659226190477
rgb,single_sa,0.5712881223173947,0.6976029592737116,0.616892418929776,0.8457030702324059,0.6550291508443663,0.8408668154761905,0.4224807155343338,0.6098095169706979,0.4862834540132604,0.7030908971356485,0.4859821366268226,0.7779017857142857
s-10,single,0.6670508564546628,0.6983300818066461,0.6740166687839898,0.8881704990522803,0.715917557430191,0.8775111607142857,0.5359622123187431,0.6958677212030107,0.5986327701127684,0.7656237898765815,0.6511786652244705,0.8606770833333334
