seed,encoder,input,fusion,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
256,resnext50_32x4d,prc-ms+s-ms,stacking,0.6378467927118592,0.733531103489045,0.6700017116541005,0.8789528829272111,0.7091355546746446,0.880859375,0.5541252130070712,0.7001449439405717,0.6150075583288023,0.817140198469392,0.6505479897009138,0.8656994047619048
42,resnext50_32x4d,prc-ms+s-ms,cross_attention,0.6024761272824544,0.7208836070022109,0.6518162121466312,0.8919116570502927,0.6878084419119528,0.8694196428571429,0.5220574392507509,0.7088708045581338,0.5966497138298167,0.8351371188363684,0.6266511474545917,0.8523995535714286
90,resnext50_32x4d,prc-ms+s-ms,cross_attention,0.5974473513495538,0.7772728924528692,0.6506474057278233,0.8944840917435215,0.6828524189751487,0.8548177083333334,0.5254789755032404,0.7147633985934554,0.5941044474264748,0.8239986881267826,0.6217804279930546,0.8434709821428571
128,resnext50_32x4d,prc-ms+s-ms,cross_attention,0.6190189509456181,0.7072530980001035,0.6444741217356531,0.8883829022909276,0.6981377337880347,0.8726748511904762,0.5538765542303624,0.6836257833755673,0.6053385872870186,0.8515816694089591,0.6533204936812292,0.8683035714285714
256,resnext50_32x4d,prc-ms+s-ms,cross_attention,0.6375010768022237,0.6983991699869112,0.6637253136584004,0.8789270303581206,0.6990673963055114,0.8762090773809523,0.5089720137133659,0.6832999029259659,0.5790954371361231,0.8099764697419591,0.6079315535086943,0.8529575892857143
42,resnext50_32x4d,prc-ms+s-ms,concat,0.5961724241225413,0.7438208053871402,0.6455711319025171,0.8819222215743018,0.6852568780713061,0.8630952380952381,0.5172902396562054,0.7539439672614529,0.5989851392357257,0.8034783160831017,0.6391225263129601,0.8520275297619048
90,resnext50_32x4d,prc-ms+s-ms,concat,0.5949780737119905,0.7124867424874505,0.6411459350223474,0.8785202387167814,0.6823557952650081,0.86328125,0.5185728433615682,0.6670020830068841,0.5774883488562826,0.8248987454169624,0.6224070277786006,0.8577938988095238
128,resnext50_32x4d,prc-ms+s-ms,concat,0.6186351750730832,0.7346492510343848,0.6549833473636439,0.888067855727754,0.7015261526633434,0.8702566964285714,0.5267847791891144,0.6933076153011765,0.5932009569317395,0.7936739919182009,0.6158592528055004,0.8550967261904762
256,resnext50_32x4d,prc-ms+s-ms,concat,0.6025286838467302,0.7098092668785855,0.6443871342809266,0.8936523393697048,0.7005621595452277,0.8655133928571429,0.5361167727606918,0.6748874325644119,0.5894387705498765,0.807750407563565,0.6244151357396776,0.8600260416666666
42,resnext50_32x4d,s-10,none,0.6179026703905061,0.6790295218845986,0.6389528498866504,0.8819968994645564,0.687141991815918,0.8649553571428571,0.5140647173978494,0.6748335439944615,0.577430164740427,0.7923176343053395,0.6028238676849001,0.8470982142857143
90,resnext50_32x4d,s-10,none,0.61306079148234,0.7114771166613286,0.6510589214210736,0.8768466469233294,0.6877192397282467,0.8685825892857143,0.5011963291278662,0.6762030424519413,0.5692426898205049,0.8076769141962352,0.5925687046077359,0.8430059523809523
