encoder,input,macro_precision,macro_recall,macro_f1,auroc,macro_map,micro_accuracy,macro_precision_cd,macro_recall_cd,macro_f1_cd,auroc_cd,macro_map_cd,micro_accuracy_cd
resnext50_32x4d,ep-51,0.6374973080654929,0.7027380336321208,0.6537215381595287,0.8852533569700015,0.7030103869929241,0.8682105654761905,0.4413141936208308,0.4016824752767856,0.4016161731038989,0.7434294650288662,0.4839408152603364,0.8408668154761905
vit_b_16,ep-51,0.6143030676289989,0.7244108234021748,0.6575402069567484,0.8678072908314471,0.671385405066833,0.8530505952380952,0.4305026091191988,0.6745380428725204,0.5159984834710414,0.767763712395295,0.5489848502822346,0.7883184523809523
resnext50_32x4d,ep-5,0.6227629751624003,0.6699572009047062,0.6429403629920147,0.8743417621294345,0.6971189371226307,0.8726748511904762,0.4953785675555048,0.4152506213486117,0.4436333940862703,0.6740477483369095,0.4976975877831384,0.8328683035714286
vit_b_16,ep-5,0.6602520299951339,0.6907864137973083,0.6378572862226753,0.875265728746057,0.6800716445609359,0.8560267857142857,0.4882076780403252,0.6150351462518957,0.5405963429921098,0.7390298061962788,0.5543939324867867,0.8345424107142857
resnext50_32x4d,nhd,0.4182522592678818,0.7411377139156432,0.5202003664900322,0.6514493064146226,0.4805043791730882,0.6800595238095238,0.3466072493042809,0.7081584463892349,0.4366652608746225,0.5889229079569821,0.374806697134478,0.6345796130952381
vit_b_16,nhd,0.4191123331287217,0.7670726020328759,0.5124654610828331,0.6356175748628764,0.4653906367367878,0.66015625,0.3622044892917205,0.7249169312522674,0.437843311664598,0.5692696302572797,0.3769769483998072,0.6134672619047619
resnext50_32x4d,nir,0.5660965384904876,0.6826786564106071,0.6111479084894579,0.829002781412621,0.646597322251648,0.833984375,0.4920563763085693,0.5860666304067765,0.5196864637907472,0.7293428920180498,0.5340519744108485,0.7922247023809523
vit_b_16,nir,0.5488589416370544,0.7130294699248916,0.6059078653102766,0.8009341877404605,0.6156416508566988,0.8255208333333334,0.467353306532732,0.5096580705231959,0.4805627165647391,0.680946525625294,0.4642060801807984,0.8142671130952381
resnext50_32x4d,osm,0.4540065536078333,0.837417786965584,0.5401407514499709,0.6750949295970614,0.4950431047365832,0.671875,0.3778274955625451,0.8290594450047813,0.4660743010405649,0.6134725299139825,0.4107804222516563,0.5799851190476191
vit_b_16,osm,0.4486298097656546,0.8407591991003251,0.5388760827858657,0.6812878528732897,0.487990279694487,0.6756882440476191,0.3730789023568744,0.8200651842977053,0.4579672463664403,0.6126571947579222,0.4013918017872901,0.5698474702380952
resnext50_32x4d,plc-100,0.481481565678124,0.7335297505697878,0.5621066388056354,0.7556306190754831,0.5456722549105734,0.7486049107142857,0.3778799836040907,0.6229928706515536,0.4497736984059234,0.6636918658549261,0.4047917823129247,0.7088913690476191
vit_b_16,plc-100,0.4723332530966879,0.7155169593107207,0.5579986916004513,0.747220946610553,0.5410711436683574,0.7414434523809523,0.3632560399175703,0.6194347719040919,0.4349772728376108,0.6441395343344255,0.387982556623923,0.6936383928571429
resnext50_32x4d,plc-10,0.5554151917537967,0.6905725800726182,0.6102882373975224,0.8257236394215466,0.6576113853982886,0.8302641369047619,0.4531762857988462,0.7018325211056828,0.5362847994665098,0.7126257770768795,0.5323738557436053,0.7819010416666666
vit_b_16,plc-10,0.5620701222658997,0.6717612686799409,0.6065489020170295,0.8481593941058971,0.6539162330984291,0.8346354166666666,0.4628034517286878,0.665868783919153,0.5184123736538725,0.7573280243180879,0.5203377125162093,0.7795758928571429
resnext50_32x4d,plc-200,0.4236173186231259,0.7806416149388872,0.5231964733789847,0.6929243696503266,0.4883112356643461,0.6784784226190477,0.3424483457150781,0.7261910880202358,0.4300292021414337,0.6263254577934908,0.3815392528129585,0.6190476190476191
vit_b_16,plc-200,0.4285132859190484,0.7115155802365265,0.519734406242543,0.6456867584686673,0.4644835246585139,0.7019159226190477,0.3535490380786067,0.68474611016594,0.4403459397726778,0.6140807240794377,0.3720727789578069,0.6439732142857143
resnext50_32x4d,plc-20,0.5446914761928938,0.6882082704625284,0.605017966053324,0.8142169381675385,0.6350406241675232,0.8123139880952381,0.4308763320741359,0.6228779220529412,0.5006138728823214,0.7282061927501966,0.5112464654870691,0.7723214285714286
vit_b_16,plc-20,0.554013882580814,0.6867124253887409,0.6041990354165755,0.8284573058444076,0.6354085760481134,0.8259858630952381,0.4338648798008459,0.590779732371698,0.4854133179546103,0.7461596540833387,0.491313767285364,0.7621837797619048
resnext50_32x4d,plc-50,0.5584608250353348,0.6444835055240948,0.5884305558037713,0.7938389927023939,0.5929329512766982,0.8031063988095238,0.4188620528780366,0.5369988784935023,0.4453639004652193,0.6562015911835911,0.4505968812088926,0.7566964285714286
vit_b_16,plc-50,0.5166416361521982,0.692762739852205,0.5796793907604013,0.7882801189635673,0.5837462830087405,0.7847842261904762,0.4057867783641186,0.5734911876073578,0.4574934574354285,0.6977383477061999,0.4425765121426962,0.7374441964285714
resnext50_32x4d,plc-5,0.5593232458362313,0.7525981654581467,0.6206212857056228,0.8665240545054618,0.6817296574752695,0.8331473214285714,0.4642414737016195,0.7441193628108485,0.5517133073189493,0.7865522986306045,0.5816132223677608,0.8056175595238095
vit_b_16,plc-5,0.5744873016286122,0.7459376257166609,0.6272617240780933,0.8566702215778278,0.6620492075334107,0.8302641369047619,0.4535015784888882,0.6862877255611922,0.5352131497826622,0.7617764020951098,0.5342252745266819,0.7907366071428571
