model,input,precision (id),precision (cd),recall (id),recall (cd),f1 (id),f1 (cd),f1 (delta),map (id),map (cd),map (delta),auroc (id),auroc (cd),accuracy (id),accuracy (cd)
resnet18,sds201,0.5129696991257993,0.4528965515507206,0.6505470190569433,0.6630653659187279,0.5695656548975101,0.5199625642852032,0.0496030906123069,0.6003329203300408,0.5207222697002646,0.0796106506297762,0.7960000794837149,0.7249913219859856,0.8169642857142857,0.7908296130952381
resnet18,sds21,0.6128260504308992,0.5038125003749035,0.6817108946662322,0.6913571642807567,0.6391932113419652,0.5781276211962257,0.0610655901457394,0.6644426580217759,0.5997454577138875,0.0646972003078883,0.8394152465955776,0.7726419310045484,0.8520275297619048,0.8352864583333334
resnet18,sds51,0.5778799024362831,0.4774069085733666,0.7414917458728131,0.708094445685553,0.6325757626199929,0.559742460278917,0.0728333023410758,0.6666069579540073,0.5787341772365534,0.0878727807174538,0.8403568097572336,0.7474286268830147,0.8399367559523809,0.8160342261904762
resnet18,sds5,0.6134609900585355,0.4783690998938435,0.6676374956330241,0.6476760530109483,0.6340622885006029,0.536194750425586,0.0978675380750169,0.6627354103147904,0.5610090879390801,0.1017263223757103,0.8445098250850362,0.7447578472656181,0.8515625,0.8244047619047619
resnet50,aerial,0.5677897743456976,0.3063043796156316,0.6426907308838458,0.4142493283985792,0.5993854758281537,0.3262141702483211,0.2731713055798326,0.6255367551302055,0.3360701292613358,0.2894666258688697,0.829526607738259,0.4756926497464286,0.84375,0.732421875
resnet50,dem,0.6455718544586954,0.3976266796726029,0.6384360751568681,0.6069757414783016,0.6346102250183145,0.4715360797215528,0.1630741452967617,0.68625061553813,0.5074481907330559,0.1788024248050741,0.8912174312015001,0.6945607317063788,0.8694196428571429,0.787109375
resnet50,ep101,0.5724834005058632,0.4665679675189438,0.7179540499592981,0.6121320832229212,0.6243677251019232,0.5182107297266038,0.1061569953753194,0.669694994796429,0.5418233046561179,0.127871690140311,0.8673514488580455,0.7749169820724112,0.8432849702380952,0.8078497023809523
resnet50,ep11,0.6059609856528807,0.4440715627957926,0.688525219653679,0.4095561223591022,0.6280865161751464,0.4042691832002962,0.2238173329748502,0.6819441104791749,0.4552558883142831,0.2266882221648918,0.8638808223353189,0.6761082895570399,0.8559337797619048,0.82421875
resnet50,ep201,0.5869043784929663,0.4927776889185385,0.7088734690260393,0.618256202473325,0.6314860125805728,0.5374412678342938,0.094044744746279,0.6836127819661141,0.552328087508786,0.131284694457328,0.8643752266609919,0.7798333444537165,0.8497023809523809,0.8214285714285714
resnet50,ep21,0.6496820603930106,0.4633163870964473,0.658071264707056,0.3930302187392794,0.6476743370938255,0.4141137255059997,0.2335606115878258,0.699904414252054,0.4709275082550436,0.2289769059970103,0.8668209953685597,0.7038981538638821,0.8665364583333334,0.8275669642857143
resnet50,ep51,0.5782802612648252,0.4520413767699768,0.6861247115356529,0.5884463277371418,0.615270756817068,0.5012598693505982,0.1140108874664698,0.6728208514113158,0.5020989374130608,0.1707219139982549,0.8607186397438662,0.7395039323292526,0.8433779761904762,0.7959449404761905
resnet50,ep5,0.605068538545959,0.382000889747269,0.7108588907768548,0.5118244842170487,0.642167027346618,0.3953131500789855,0.2468538772676325,0.6783259675560609,0.4625187824288158,0.2158071851272451,0.8707388918153535,0.6890109907525284,0.8534226190476191,0.7798549107142857
resnet50,nhd,0.4102438845993308,0.3456558003204695,0.7111536612762241,0.6902595285922829,0.506654906421954,0.4327477522939059,0.0739071541280481,0.4606740180104639,0.3622460768034276,0.0984279412070363,0.6367557952483883,0.5542881352100935,0.6834077380952381,0.6343005952380952
resnet50,nir,0.570462076127966,0.2776102767705053,0.6437199314837542,0.3478947611247678,0.5986486967399122,0.2712438091110364,0.3274048876288757,0.6242240871795068,0.3105306687424158,0.313693418437091,0.8018697308550988,0.4698282624015212,0.8372395833333334,0.6627604166666666
resnet50,osm,0.4420383338105784,0.3668017000113567,0.8461289101839647,0.8312356526966717,0.5374649525626359,0.4568658072191779,0.080599145343458,0.4846825148966326,0.3986627521362154,0.0860197627604172,0.6748821184040282,0.6110466198125957,0.6715959821428571,0.5612909226190477
resnet50,plc100,0.4624210928133719,0.366588915169427,0.7590828688776131,0.6499904129424081,0.5590324975595434,0.4451523695002571,0.1138801280592863,0.532650485790148,0.3987023227532876,0.1339481630368603,0.7435272472989547,0.6808373894031658,0.7283296130952381,0.6915922619047619
resnet50,plc10,0.539108355533856,0.4124197196325005,0.6802020163211312,0.5969426638726022,0.5951523501070807,0.4798805492924741,0.1152718008146065,0.628566883271797,0.479707747088011,0.148859136183786,0.8263066089028638,0.7388135129964252,0.8178943452380952,0.7731584821428571
resnet50,plc200,0.4224584066693055,0.3459416433293878,0.7266011436338219,0.6933593879388967,0.5214289832385758,0.4334514042861298,0.0879775789524459,0.4761586500684336,0.3741445539080824,0.1020140961603512,0.6680554342026364,0.6368058753900346,0.6940104166666666,0.6326264880952381
resnet50,plc20,0.5406419799067456,0.4083419112013353,0.6406669338850044,0.5543736224129093,0.5845843505969607,0.4594343917989912,0.1251499587979694,0.6206607175778621,0.4562998929585467,0.1643608246193154,0.8155753272567579,0.7048731856851342,0.8205915178571429,0.7672061011904762
resnet50,plc50,0.4758282012469136,0.3885880003743142,0.7106741840866798,0.6129758726468175,0.5614067915322274,0.4579658971347257,0.1034408943975017,0.5593028655959686,0.426345022904551,0.1329578426914176,0.7795432468690394,0.696983923455989,0.7624627976190477,0.7248883928571429
